case;case_short;case_acro;case_order;case_group
Landen;Landen;Lnd;8;Limburg
Mechelen;Mechelen;Mch;12;Vlaanderen
Stiemer;Stiemer;Stm;7;Limburg
Maarkebeek;Maarke;Mkb;13;Vlaanderen
Voeren;Voeren;Vrn;10;Limburg
Dijle;Dijle;Dle;11;Vlaanderen
De Wijers: Nature;Wij-nat;Wnt;3;Wijers
De Wijers: Agriculture;Wij-agri;Wag;1;Wijers
De Wijers: Stream valleys;Wij-val;Wsv;6;Wijers
De Wijers: Ponds;Wij-ponds;Wp;4;Wijers
De Wijers: Urban green spaces;Wij-urban;Wug;5;Wijers
De Wijers: Canal;Wij-canal;Wcn;2;Wijers
Gelinden;Gelinden;Gld;9;Limburg
Kluisbos;Kluis;Kls;14;Vlaanderen
